node1	node2
hsa-miR-98-5p	ENSG00000114374
hsa-miR-361-5p	ENSG00000114374
hsa-miR-299-5p	ENSG00000114374
hsa-let-7c-5p	ENSG00000114374
hsa-miR-369-3p	ENSG00000114374
hsa-let-7g-5p	ENSG00000114374
hsa-miR-30b-5p	ENSG00000114374
hsa-miR-137-3p	ENSG00000114374
hsa-miR-425-5p	ENSG00000114374
hsa-miR-185-5p	ENSG00000114374
hsa-miR-603	ENSG00000114374
hsa-let-7d-5p	ENSG00000114374
hsa-let-7i-5p	ENSG00000114374
hsa-miR-382-5p	ENSG00000114374
hsa-miR-181a-5p	ENSG00000114374
hsa-miR-766-3p	ENSG00000114374
hsa-let-7b-5p	ENSG00000114374
hsa-miR-377-3p	ENSG00000114374
hsa-miR-126-5p	ENSG00000114374
hsa-miR-29a-3p	ENSG00000114374
hsa-miR-30a-5p	ENSG00000114374
hsa-miR-124-3p	ENSG00000114374
hsa-miR-30e-5p	ENSG00000114374
hsa-miR-377-5p	ENSG00000114374
hsa-let-7e-5p	ENSG00000114374
hsa-let-7f-5p	ENSG00000114374
hsa-miR-136-3p	ENSG00000114374
hsa-miR-29c-3p	ENSG00000114374
hsa-miR-30d-5p	ENSG00000114374
hsa-miR-30c-5p	ENSG00000114374
hsa-let-7a-5p	ENSG00000114374
hsa-miR-34c-5p	ENSG00000114786
hsa-miR-940	ENSG00000114786
hsa-miR-34b-5p	ENSG00000114786
hsa-miR-29b-2-5p	ENSG00000114786
hsa-miR-7-5p	ENSG00000114786
hsa-miR-107	ENSG00000114786
hsa-miR-449b-5p	ENSG00000114786
hsa-miR-92a-1-5p	ENSG00000114786
hsa-miR-103a-3p	ENSG00000114786
hsa-miR-193b-3p	ENSG00000114786
hsa-miR-1304-3p	ENSG00000114786
hsa-miR-29b-1-5p	ENSG00000114786
hsa-miR-214-3p	ENSG00000114786
hsa-miR-223-5p	ENSG00000114786
hsa-miR-16-5p	ENSG00000114786
hsa-miR-195-5p	ENSG00000114786
hsa-miR-564	ENSG00000114786
hsa-miR-193a-3p	ENSG00000114786
hsa-miR-3913-5p	ENSG00000114786
hsa-miR-497-5p	ENSG00000114786
hsa-miR-197-3p	ENSG00000114786
hsa-miR-612	ENSG00000114786
hsa-miR-654-3p	ENSG00000114786
hsa-miR-31-5p	ENSG00000114786
hsa-miR-647	ENSG00000114786
hsa-miR-424-5p	ENSG00000114786
hsa-miR-1226-3p	ENSG00000114786
hsa-miR-24-3p	ENSG00000114786
hsa-miR-15a-5p	ENSG00000114786
hsa-miR-15b-5p	ENSG00000114786
hsa-miR-34a-5p	ENSG00000114786
hsa-miR-922	ENSG00000114786
hsa-miR-143-5p	ENSG00000114786
hsa-miR-181b-3p	ENSG00000114786
hsa-miR-885-3p	ENSG00000114786
hsa-miR-27b-3p	ENSG00000116652
hsa-miR-30b-5p	ENSG00000116652
hsa-miR-369-3p	ENSG00000116652
hsa-miR-30c-5p	ENSG00000116652
hsa-miR-361-5p	ENSG00000116652
hsa-miR-27a-3p	ENSG00000116652
hsa-miR-126-5p	ENSG00000116652
hsa-miR-497-5p	ENSG00000116652
hsa-miR-218-5p	ENSG00000116652
hsa-miR-425-5p	ENSG00000116652
hsa-miR-518b	ENSG00000117242
hsa-miR-2355-5p	ENSG00000117242
hsa-miR-519b-3p	ENSG00000117242
hsa-miR-20b-5p	ENSG00000117242
hsa-miR-450b-5p	ENSG00000117242
hsa-miR-30c-1-3p	ENSG00000117242
hsa-miR-519a-3p	ENSG00000117242
hsa-miR-150-5p	ENSG00000117242
hsa-miR-374b-3p	ENSG00000117242
hsa-miR-17-5p	ENSG00000117242
hsa-miR-106b-5p	ENSG00000117242
hsa-miR-518d-3p	ENSG00000117242
hsa-miR-192-5p	ENSG00000117242
hsa-miR-1307-3p	ENSG00000117242
hsa-miR-20a-5p	ENSG00000117242
hsa-miR-769-3p	ENSG00000117242
hsa-miR-106a-5p	ENSG00000117242
hsa-miR-188-3p	ENSG00000117242
hsa-miR-204-3p	ENSG00000117242
hsa-miR-629-5p	ENSG00000117242
hsa-miR-550a-3-5p	ENSG00000117242
hsa-miR-214-5p	ENSG00000117242
hsa-miR-148a-5p	ENSG00000117242
hsa-miR-30c-2-3p	ENSG00000117242
hsa-miR-186-3p	ENSG00000117242
hsa-miR-421	ENSG00000117242
hsa-miR-132-5p	ENSG00000117242
hsa-miR-93-5p	ENSG00000117242
hsa-miR-520c-3p	ENSG00000117242
hsa-miR-582-5p	ENSG00000117242
hsa-miR-135a-5p	ENSG00000117242
hsa-miR-520a-3p	ENSG00000117242
hsa-miR-378a-5p	ENSG00000117242
hsa-miR-519c-3p	ENSG00000117242
hsa-miR-532-5p	ENSG00000118976
hsa-miR-17-3p	ENSG00000118976
hsa-miR-375-3p	ENSG00000118976
hsa-miR-195-3p	ENSG00000121089
hsa-miR-375-3p	ENSG00000121089
hsa-miR-144-3p	ENSG00000121089
hsa-miR-22-5p	ENSG00000121089
hsa-miR-382-3p	ENSG00000121089
hsa-miR-324-3p	ENSG00000121089
hsa-miR-1283	ENSG00000121089
hsa-miR-148b-3p	ENSG00000121089
hsa-miR-3611	ENSG00000121089
hsa-miR-338-5p	ENSG00000121089
hsa-miR-139-5p	ENSG00000121089
hsa-miR-500a-3p	ENSG00000121089
hsa-miR-582-5p	ENSG00000121089
hsa-miR-542-3p	ENSG00000121089
hsa-miR-16-2-3p	ENSG00000121089
hsa-miR-34a-3p	ENSG00000122872
hsa-miR-454-3p	ENSG00000123009
hsa-miR-34b-3p	ENSG00000123009
hsa-miR-324-3p	ENSG00000123009
hsa-miR-18a-3p	ENSG00000123009
hsa-miR-3157-5p	ENSG00000124097
hsa-miR-191-5p	ENSG00000124224
hsa-miR-5586-3p	ENSG00000124224
hsa-miR-4511	ENSG00000124224
hsa-miR-3145-3p	ENSG00000124224
hsa-miR-424-3p	ENSG00000124224
hsa-miR-501-5p	ENSG00000124224
hsa-miR-1301-3p	ENSG00000124224
hsa-miR-21-3p	ENSG00000124224
hsa-miR-500a-5p	ENSG00000124224
hsa-miR-548o-3p	ENSG00000124224
hsa-miR-3194-5p	ENSG00000124224
hsa-miR-548at-3p	ENSG00000124224
hsa-miR-103a-2-5p	ENSG00000124224
hsa-miR-15b-3p	ENSG00000124224
hsa-miR-101-5p	ENSG00000124224
hsa-miR-497-3p	ENSG00000124224
hsa-miR-27a-3p	ENSG00000124224
hsa-miR-30c-1-3p	ENSG00000124224
hsa-miR-103a-3p	ENSG00000124224
hsa-miR-148a-3p	ENSG00000124224
hsa-miR-107	ENSG00000124224
